StartsStationID	EndsStationID
28	28
28	116
28	143
116	28
116	116
116	143
143	28
143	116
143	143
72	72
72	95
95	72
95	95
65	65
65	82
65	51
82	65
82	82
82	51
51	65
51	82
51	51
157	157
157	173
173	157
173	173
47	47
47	76
47	160
76	47
76	76
76	160
160	47
160	76
160	160
90	90
90	78
78	90
78	78
34	34
34	170
170	34
170	170
29	29
29	10
29	48
10	29
10	10
10	48
48	29
48	10
48	48
80	80
80	26
26	80
26	26
71	71
71	13
13	71
13	13
69	69
69	193
193	69
193	193
118	118
118	93
93	118
93	93
68	68
68	144
68	49
68	11
144	68
144	144
144	49
144	11
49	68
49	144
49	49
49	11
11	68
11	144
11	49
11	11
142	142
142	158
158	142
158	158
161	161
161	130
130	161
130	130
81	81
81	115
115	81
115	115
131	131
131	119
131	75
119	131
119	119
119	75
75	131
75	119
75	75
6	6
6	77
77	6
77	77
73	73
73	146
146	73
146	146
39	39
39	185
185	39
185	185
141	141
141	79
79	141
79	79
117	117
117	9
9	117
9	9
74	74
74	31
31	74
31	31
172	172
172	151
151	172
151	151
94	94
94	132
94	30
132	94
132	132
132	30
30	94
30	132
30	30
92	92
92	8
92	159
8	92
8	8
8	159
159	92
159	8
159	159
162	162
162	120
120	162
120	120
52	52
52	194
194	52
194	194
54	54
54	58
58	54
58	58
106	106
106	191
191	106
191	191
