MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
1	6e-06	4	4e-06	5
2	2e-06	16	1.2e-05	27
3	4e-06	38	7e-06	78
4	4e-06	72	4e-06	170
5	4e-06	120	7e-06	315
6	4e-06	184	7e-06	525
7	5e-06	266	7e-06	812
8	5e-06	368	9e-06	1188
9	7e-06	492	1.2e-05	1665
10	6e-06	640	1e-05	2255
11	7e-06	814	1.2e-05	2970
12	7e-06	1016	1.4e-05	3822
13	1e-05	1248	1.6e-05	4823
14	1e-05	1512	2.1e-05	5985
15	1.2e-05	1810	2e-05	7320
16	1.3e-05	2144	2.2e-05	8840
17	1.5e-05	2516	2.6e-05	10557
18	1.3e-05	2928	2.7e-05	12483
19	1.8e-05	3382	3.7e-05	14630
20	1.6e-05	3880	3e-05	17010
21	1.8e-05	4424	3.8e-05	19635
22	2e-05	5016	4e-05	22517
23	2.1e-05	5658	4.4e-05	25668
24	2.3e-05	6352	4.4e-05	29100
25	2.4e-05	7100	6.8e-05	32825
26	5.3e-05	7904	6.7e-05	36855
27	3.2e-05	8766	6.2e-05	41202
28	3e-05	9688	7e-05	45878
29	3.4e-05	10672	6.7e-05	50895
30	3.3e-05	11720	7.4e-05	56265
31	3.8e-05	12834	0.000134	62000
32	6.8e-05	14016	0.00014	68112
33	6.7e-05	15268	0.000213	74613
34	9.8e-05	16592	0.000163	81515
35	9.6e-05	17990	0.00015	88830
36	5e-05	19464	0.000138	96570
37	5.1e-05	21016	0.000132	104747
38	4.5e-05	22648	0.000119	113373
39	4.9e-05	24362	0.000178	122460
40	5e-05	26160	0.000132	132020
41	5.8e-05	28044	0.000221	142065
42	0.0001	30016	0.000223	152607
43	8.1e-05	32078	0.000173	163658
44	0.0001	34232	0.000202	175230
45	0.000107	36480	0.000183	187335
46	0.000108	38824	0.000224	199985
47	9.8e-05	41266	0.000221	213192
48	9.7e-05	43808	0.000222	226968
49	0.000117	46452	0.000256	241325
50	0.000121	49200	0.000278	256275
51	0.000146	52054	0.000335	271830
52	0.000148	55016	0.000331	288002
53	0.000189	58088	0.000422	304803
54	0.000222	61272	0.000463	322245
55	0.000169	64570	0.00044	340340
56	0.000247	67984	0.000538	359100
57	0.000242	71516	0.000478	378537
58	0.000194	75168	0.000411	398663
59	0.000178	78942	0.000466	419490
60	0.000222	82840	0.000536	441030
61	0.000252	86864	0.000615	463295
62	0.00028	91016	0.000663	486297
63	0.000212	95298	0.000556	510048
64	0.000181	99712	0.000528	534560
65	0.000206	104260	0.000493	559845
66	0.000202	108944	0.00058	585915
67	0.000261	113766	0.000568	612782
68	0.000189	118728	0.000473	640458
69	0.000197	123832	0.000507	668955
70	0.000216	129080	0.000515	698285
71	0.000215	134474	0.000584	728460
72	0.000205	140016	0.000566	759492
73	0.000216	145708	0.000717	791393
74	0.00034	151552	0.00081	824175
75	0.000228	157550	0.000719	857850
76	0.00024	163704	0.000731	892430
77	0.000239	170016	0.000812	927927
78	0.000252	176488	0.000914	964353
79	0.000337	183122	0.000936	1001720
80	0.000318	189920	0.001017	1040040
81	0.000312	196884	0.00097	1079325
82	0.000305	204016	0.001171	1119587
83	0.000557	211318	0.001324	1160838
84	0.000412	218792	0.001217	1203090
85	0.000502	226440	0.001256	1246355
86	0.000427	234264	0.001029	1290645
87	0.000314	242266	0.000949	1335972
88	0.00033	250448	0.001111	1382348
89	0.000342	258812	0.001551	1429785
90	0.000344	267360	0.001066	1478295
91	0.000361	276094	0.001258	1527890
92	0.000351	285016	0.001162	1578582
93	0.000373	294128	0.001134	1630383
94	0.000393	303432	0.001241	1683305
95	0.00038	312930	0.001652	1737360
96	0.000413	322624	0.00138	1792560
97	0.000479	332516	0.001687	1848917
98	0.00045	342608	0.001555	1906443
99	0.000463	352902	0.001732	1965150
100	0.000563	363400	0.001711	2025050
101	0.000552	374104	0.001498	2086155
102	0.000451	385016	0.001494	2148477
103	0.000484	396138	0.001523	2212028
104	0.000507	407472	0.001585	2276820
105	0.000489	419020	0.001864	2342865
106	0.000683	430784	0.002461	2410175
107	0.000685	442766	0.002688	2478762
108	0.000878	454968	0.002146	2548638
109	0.000771	467392	0.002204	2619815
110	0.000682	480040	0.002281	2692305
111	0.000915	492914	0.002483	2766120
112	0.000605	506016	0.001968	2841272
113	0.000769	519348	0.002341	2917773
114	0.000756	532912	0.002511	2995635
115	0.000673	546710	0.00225	3074870
116	0.000744	560744	0.002779	3155490
117	0.000809	575016	0.003062	3237507
118	0.000905	589528	0.002545	3320933
119	0.000675	604282	0.002561	3405780
120	0.000736	619280	0.002446	3492060
121	0.000695	634524	0.002633	3579785
122	0.000831	650016	0.002617	3668967
123	0.00075	665758	0.002697	3759618
124	0.000742	681752	0.002944	3851750
125	0.00094	698000	0.003196	3945375
126	0.000949	714504	0.003244	4040505
127	0.001095	731266	0.004337	4137152
128	0.001173	748288	0.004146	4235328
129	0.001538	765572	0.004123	4335045
130	0.001104	783120	0.003389	4436315
131	0.000971	800934	0.004015	4539150
132	0.001252	819016	0.0041	4643562
133	0.001557	837368	0.003413	4749563
134	0.000914	855992	0.004258	4857165
135	0.001612	874890	0.004746	4966380
136	0.000981	894064	0.003633	5077220
137	0.000984	913516	0.003478	5189697
138	0.000977	933248	0.003845	5303823
139	0.001142	953262	0.00421	5419610
140	0.002182	973560	0.006506	5537070
141	0.001485	994144	0.004162	5656215
142	0.001053	1015016	0.004374	5777057
143	0.001361	1036178	0.006189	5899608
144	0.001294	1057632	0.004437	6023880
145	0.001441	1079380	0.004502	6149885
146	0.001394	1101424	0.004909	6277635
147	0.001168	1123766	0.004762	6407142
148	0.00151	1146408	0.005288	6538418
149	0.001858	1169352	0.005389	6671475
150	0.001235	1192600	0.004753	6806325
151	0.001469	1216154	0.005769	6942980
152	0.001498	1240016	0.0056	7081452
153	0.001293	1264188	0.007269	7221753
154	0.001756	1288672	0.006817	7363895
155	0.002227	1313470	0.006116	7507890
156	0.001639	1338584	0.006598	7653750
157	0.003008	1364016	0.006412	7801487
158	0.001867	1389768	0.0075	7951113
159	0.001653	1415842	0.005711	8102640
160	0.001784	1442240	0.006761	8256080
161	0.001531	1468964	0.007734	8411445
162	0.002077	1496016	0.00597	8568747
163	0.001584	1523398	0.006368	8727998
164	0.002248	1551112	0.007639	8889210
165	0.001646	1579160	0.00879	9052395
166	0.002489	1607544	0.006467	9217565
167	0.001978	1636266	0.008644	9384732
168	0.001924	1665328	0.00916	9553908
169	0.001867	1694732	0.008799	9725105
170	0.002079	1724480	0.006855	9898335
171	0.001894	1754574	0.007562	10073610
172	0.002709	1785016	0.008132	10250942
173	0.002165	1815808	0.008028	10430343
174	0.001947	1846952	0.007834	10611825
175	0.002374	1878450	0.009282	10795400
176	0.002125	1910304	0.010839	10981080
177	0.002806	1942516	0.01104	11168877
178	0.002585	1975088	0.010029	11358803
179	0.003354	2008022	0.00918	11550870
180	0.002477	2041320	0.00961	11745090
181	0.00218	2074984	0.010168	11941475
182	0.002476	2109016	0.008425	12140037
183	0.002193	2143418	0.01082	12340788
184	0.002775	2178192	0.009488	12543740
185	0.00285	2213340	0.00994	12748905
186	0.002483	2248864	0.011745	12956295
187	0.003336	2284766	0.010778	13165922
188	0.003472	2321048	0.011865	13377798
189	0.002303	2357712	0.01312	13591935
190	0.003104	2394760	0.010105	13808345
191	0.003305	2432194	0.013363	14027040
192	0.004469	2470016	0.012018	14248032
193	0.003853	2508228	0.011351	14471333
194	0.002593	2546832	0.012236	14696955
195	0.004142	2585830	0.012103	14924910
196	0.003838	2625224	0.013386	15155210
197	0.002816	2665016	0.010627	15387867
198	0.003072	2705208	0.013347	15622893
199	0.004356	2745802	0.013283	15860300
200	0.002882	2786800	0.011333	16100100
201	0.003473	2828204	0.012511	16342305
202	0.004105	2870016	0.013649	16586927
203	0.003185	2912238	0.011969	16833978
204	0.003484	2954872	0.01366	17083470
205	0.004275	2997920	0.013264	17335415
206	0.003392	3041384	0.01646	17589825
207	0.003261	3085266	0.014875	17846712
208	0.003473	3129568	0.017201	18106088
209	0.004256	3174292	0.017289	18367965
210	0.003518	3219440	0.015293	18632355
211	0.003309	3265014	0.01943	18899270
212	0.004158	3311016	0.014509	19168722
213	0.004532	3357448	0.01682	19440723
214	0.00399	3404312	0.015696	19715285
215	0.003639	3451610	0.016568	19992420
216	0.003566	3499344	0.015073	20272140
217	0.004559	3547516	0.015704	20554457
218	0.00359	3596128	0.0179	20839383
219	0.004557	3645182	0.019741	21126930
220	0.006092	3694680	0.018496	21417110
221	0.004021	3744624	0.02047	21709935
222	0.003743	3795016	0.017963	22005417
223	0.004992	3845858	0.02198	22303568
224	0.00449	3897152	0.01831	22604400
225	0.004692	3948900	0.018103	22907925
226	0.004562	4001104	0.018989	23214155
227	0.004669	4053766	0.019228	23523102
228	0.004802	4106888	0.021798	23834778
229	0.004799	4160472	0.018067	24149195
230	0.004592	4214520	0.019953	24466365
231	0.004794	4269034	0.023767	24786300
232	0.004531	4324016	0.02076	25109012
233	0.00452	4379468	0.021198	25434513
234	0.004565	4435392	0.01887	25762815
235	0.004786	4491790	0.025497	26093930
236	0.005385	4548664	0.019643	26427870
237	0.005498	4606016	0.019532	26764647
238	0.004855	4663848	0.024683	27104273
239	0.004936	4722162	0.019175	27446760
240	0.004666	4780960	0.020588	27792120
241	0.004767	4840244	0.022924	28140365
242	0.005101	4900016	0.024626	28491507
243	0.007477	4960278	0.024231	28845558
244	0.005878	5021032	0.023557	29202530
245	0.007995	5082280	0.02113	29562435
246	0.005481	5144024	0.024944	29925285
247	0.005655	5206266	0.029025	30291092
248	0.006064	5269008	0.023028	30659868
249	0.006729	5332252	0.025969	31031625
250	0.0055	5396000	0.021784	31406375
251	0.005758	5460254	0.030733	31784130
252	0.006217	5525016	0.025808	32164902
253	0.006196	5590288	0.026412	32548703
254	0.005494	5656072	0.023034	32935545
255	0.005737	5722370	0.027551	33325440
256	0.005653	5789184	0.03297	33718400
257	0.00728	5856516	0.027159	34114437
258	0.006833	5924368	0.027035	34513563
259	0.007187	5992742	0.029395	34915790
260	0.006196	6061640	0.034665	35321130
261	0.007043	6131064	0.029669	35729595
262	0.006575	6201016	0.039813	36141197
263	0.007607	6271498	0.033627	36555948
264	0.006492	6342512	0.028076	36973860
265	0.007082	6414060	0.03335	37394945
266	0.007041	6486144	0.02894	37819215
267	0.007515	6558766	0.035821	38246682
268	0.006983	6631928	0.033048	38677358
269	0.006869	6705632	0.034066	39111255
270	0.008016	6779880	0.033237	39548385
271	0.006991	6854674	0.03544	39988760
272	0.008955	6930016	0.03779	40432392
273	0.008892	7005908	0.035043	40879293
274	0.009228	7082352	0.038727	41329475
275	0.007568	7159350	0.039938	41782950
276	0.007678	7236904	0.035085	42239730
277	0.009168	7315016	0.03049	42699827
278	0.009831	7393688	0.034891	43163253
279	0.009068	7472922	0.033935	43630020
280	0.010414	7552720	0.041442	44100140
281	0.010172	7633084	0.031305	44573625
282	0.008874	7714016	0.036562	45050487
283	0.007948	7795518	0.037385	45530738
284	0.009261	7877592	0.041776	46014390
285	0.008818	7960240	0.041653	46501455
286	0.007897	8043464	0.041669	46991945
287	0.009764	8127266	0.042483	47485872
288	0.014695	8211648	0.040317	47983248
289	0.009881	8296612	0.037596	48484085
290	0.009666	8382160	0.046112	48988395
291	0.011724	8468294	0.039136	49496190
292	0.011022	8555016	0.042577	50007482
293	0.011749	8642328	0.041642	50522283
294	0.010125	8730232	0.047734	51040605
295	0.014052	8818730	0.03938	51562460
296	0.011406	8907824	0.041945	52087860
297	0.01069	8997516	0.04632	52616817
298	0.009251	9087808	0.039467	53149343
299	0.012353	9178702	0.050972	53685450
300	0.009356	9270200	0.039683	54225150
301	0.01084	9362304	0.04605	54768455
302	0.01074	9455016	0.042474	55315377
303	0.012834	9548338	0.049514	55865928
304	0.01161	9642272	0.04387	56420120
305	0.015337	9736820	0.044725	56977965
306	0.009919	9831984	0.042738	57539475
307	0.012902	9927766	0.042462	58104662
308	0.0125	10024168	0.046802	58673538
309	0.013951	10121192	0.045393	59246115
310	0.01174	10218840	0.044576	59822405
311	0.010863	10317114	0.04557	60402420
312	0.013129	10416016	0.046064	60986172
313	0.013337	10515548	0.045506	61573673
314	0.014317	10615712	0.046689	62164935
315	0.01017	10716510	0.047355	62759970
316	0.011986	10817944	0.055346	63358790
317	0.01072	10920016	0.052388	63961407
318	0.010694	11022728	0.056325	64567833
319	0.010659	11126082	0.051082	65178080
320	0.013222	11230080	0.053122	65792160
321	0.011027	11334724	0.053141	66410085
322	0.012941	11440016	0.061505	67031867
323	0.012323	11545958	0.060025	67657518
324	0.014542	11652552	0.057313	68287050
325	0.011353	11759800	0.051452	68920475
326	0.017186	11867704	0.057777	69557805
327	0.012255	11976266	0.062861	70199052
328	0.011861	12085488	0.062148	70844228
329	0.016672	12195372	0.067418	71493345
330	0.017104	12305920	0.056874	72146415
331	0.012245	12417134	0.062701	72803450
332	0.01463	12529016	0.065625	73464462
333	0.012121	12641568	0.063864	74129463
334	0.015669	12754792	0.06101	74798465
