MatrixSize	GaussSolverSpentTime	GaussSolverIterations	QRSolverSpentTime	QRSolverIterations
1	1.9e-05	4	7e-06	6
2	4e-06	16	8e-06	35
3	4e-06	38	6e-06	105
4	4e-06	72	9e-06	234
5	6e-06	120	1.2e-05	440
6	7e-06	184	1e-05	741
7	7e-06	266	1.3e-05	1155
8	1.2e-05	368	1.8e-05	1700
9	9e-06	492	1.5e-05	2394
10	1.2e-05	640	2e-05	3255
11	1.4e-05	814	2.7e-05	4301
12	1.7e-05	1016	3.3e-05	5550
13	1.5e-05	1248	2.5e-05	7020
14	1.6e-05	1512	3.1e-05	8729
15	1.9e-05	1810	4.2e-05	10695
16	1.9e-05	2144	3.6e-05	12936
17	2.2e-05	2516	4.6e-05	15470
18	2.2e-05	2928	4.7e-05	18315
19	2.4e-05	3382	5.2e-05	21489
20	2.6e-05	3880	5.8e-05	25010
21	3.1e-05	4424	6.4e-05	28896
22	2.9e-05	5016	7e-05	33165
23	3.3e-05	5658	0.000102	37835
24	2.9e-05	6352	4.6e-05	42924
25	2.3e-05	7100	5.1e-05	48450
26	2.3e-05	7904	6e-05	54431
27	2.6e-05	8766	7.8e-05	60885
28	3e-05	9688	9.8e-05	67830
29	4.4e-05	10672	0.000109	75284
30	6.5e-05	11720	0.000139	83265
31	4.4e-05	12834	0.000123	91791
32	5.3e-05	14016	0.00013	100880
33	5.1e-05	15268	0.000139	110550
34	4e-05	16592	0.000138	120819
35	5.8e-05	17990	0.000231	131705
36	5.2e-05	19464	0.000154	143226
37	7.4e-05	21016	0.00016	155400
38	7.9e-05	22648	0.000164	168245
39	6.1e-05	24362	0.00017	181779
40	9e-05	26160	0.000172	196020
41	7.6e-05	28044	0.000196	210986
42	7.4e-05	30016	0.000193	226695
43	7.9e-05	32078	0.000196	243165
44	8.5e-05	34232	0.000218	260414
45	8.4e-05	36480	0.00024	278460
46	0.000101	38824	0.000253	297321
47	0.000149	41266	0.000343	317015
48	0.000122	43808	0.000294	337560
49	0.000131	46452	0.000312	358974
50	0.00013	49200	0.000333	381275
51	0.000166	52054	0.000441	404481
52	0.00017	55016	0.000457	428610
53	0.000183	58088	0.000502	453680
54	0.000243	61272	0.000591	479709
55	0.000191	64570	0.000593	506715
56	0.000248	67984	0.000599	534716
57	0.000193	71516	0.000521	563730
58	0.000191	75168	0.000465	593775
59	0.000161	78942	0.000521	624869
60	0.000211	82840	0.000697	657030
61	0.000259	86864	0.000703	690276
62	0.000202	91016	0.000427	724625
63	0.000183	95298	0.000567	760095
64	0.000191	99712	0.000458	796704
65	0.000164	104260	0.000599	834470
66	0.000204	108944	0.000759	873411
67	0.00035	113766	0.000739	913545
68	0.000178	118728	0.000653	954890
69	0.000183	123832	0.000656	997464
70	0.000191	129080	0.000686	1041285
71	0.000212	134474	0.000734	1086371
72	0.000202	140016	0.000772	1132740
73	0.000212	145708	0.000836	1180410
74	0.000264	151552	0.000784	1229399
75	0.000237	157550	0.000721	1279725
76	0.000277	163704	0.000774	1331406
77	0.000242	170016	0.000865	1384460
78	0.000393	176488	0.000977	1438905
79	0.000349	183122	0.001183	1494759
80	0.000365	189920	0.00121	1552040
81	0.000343	196884	0.001116	1610766
82	0.000317	204016	0.001163	1670955
83	0.000357	211318	0.001206	1732625
84	0.000308	218792	0.001526	1795794
85	0.000534	226440	0.001712	1860480
86	0.000492	234264	0.001472	1926701
87	0.000313	242266	0.001145	1994475
88	0.000329	250448	0.001112	2063820
89	0.000363	258812	0.001536	2134754
90	0.000378	267360	0.001245	2207295
91	0.000387	276094	0.001265	2281461
92	0.000359	285016	0.001309	2357270
93	0.000391	294128	0.001426	2434740
94	0.000402	303432	0.001602	2513889
95	0.000446	312930	0.001779	2594735
96	0.000423	322624	0.001621	2677296
97	0.000435	332516	0.001943	2761590
98	0.000456	342608	0.001555	2847635
99	0.000439	352902	0.001601	2935449
100	0.000434	363400	0.001645	3025050
101	0.000448	374104	0.001735	3116456
102	0.00048	385016	0.002134	3209685
103	0.000648	396138	0.002218	3304755
104	0.000639	407472	0.002358	3401684
105	0.000624	419020	0.00252	3500490
106	0.000769	430784	0.00251	3601191
107	0.000568	442766	0.002833	3703805
108	0.00054	454968	0.002064	3808350
109	0.000517	467392	0.002115	3914844
110	0.000551	480040	0.002845	4023305
111	0.001059	492914	0.004358	4133751
112	0.000967	506016	0.003689	4246200
113	0.000675	519348	0.002665	4360670
114	0.000668	532912	0.002753	4477179
115	0.000727	546710	0.002813	4595745
116	0.000707	560744	0.003632	4716386
117	0.000918	575016	0.003949	4839120
118	0.00117	589528	0.003804	4963965
119	0.000789	604282	0.003589	5090939
120	0.000782	619280	0.00281	5220060
121	0.00076	634524	0.002774	5351346
122	0.000725	650016	0.004158	5484815
123	0.001325	665758	0.004097	5620485
124	0.000978	681752	0.003466	5758374
125	0.000786	698000	0.00312	5898500
126	0.000941	714504	0.003366	6040881
127	0.001009	731266	0.00428	6185535
128	0.001039	748288	0.004426	6332480
129	0.001355	765572	0.004684	6481734
130	0.000914	783120	0.003675	6633315
131	0.001105	800934	0.004231	6787241
132	0.001052	819016	0.00448	6943530
133	0.001235	837368	0.004719	7102200
134	0.001233	855992	0.006034	7263269
135	0.001078	874890	0.004181	7426755
136	0.00095	894064	0.004925	7592676
137	0.001012	913516	0.004306	7761050
138	0.001126	933248	0.005034	7931895
139	0.001201	953262	0.004819	8105229
140	0.001091	973560	0.006113	8281070
141	0.002632	994144	0.006495	8459436
142	0.001761	1015016	0.004852	8640345
143	0.001285	1036178	0.005795	8823815
144	0.001565	1057632	0.005866	9009864
145	0.001131	1079380	0.004979	9198510
146	0.001187	1101424	0.005842	9389771
147	0.001765	1123766	0.006872	9583665
148	0.001546	1146408	0.006152	9780210
149	0.001429	1169352	0.006543	9979424
150	0.001399	1192600	0.005595	10181325
151	0.001724	1216154	0.007156	10385931
152	0.001625	1240016	0.007571	10593260
153	0.001627	1264188	0.005833	10803330
